word,dictionary definition
   show,"be, allow, or cause to be visible. allow (a quality or emotion) to be perceived; display. demonstrate or prove. finish third or in the first three in a race. a spectacle or display, typically an impressive one. a play or other stage performance, especially a musical.. an outward appearance or display of a quality or feeling. a discharge of blood and mucus from the vagina at the onset of labour or menstruation.. an opportunity for doing something; a chance"
   leader,"the person who leads or commands a group, organization, or country. the principal player in a music group.. a leading article in a newspaper.. a short strip of non-functioning material at each end of a reel of film or recording tape for connection to the spool.. a shoot of a plant at the apex of a stem or main branch.. a series of dots or dashes across the page to guide the eye, especially in tabulated material."
   light,"the natural agent that stimulates sight and makes things visible. an expression in someone's eyes indicating a particular emotion or mood. understanding of a problem or mystery; enlightenment. an area of something that is brighter or paler than its surroundings. a device used to produce a flame or spark. a window or opening to let light in. a person eminent in a particular sphere of activity. (in a crossword puzzle) a blank space to be filled by a letter.. provide with light or lighting; illuminate. make (something) start burning; ignite. having a considerable or sufficient amount of natural light; not dark. (of a colour) pale. of little weight; not heavy. not strongly or heavily built or made. relatively low in density, amount, or intensity. (of food or a meal) small in quantity and easy to digest. gentle or delicate. (of entertainment) requiring little mental effort; not profound or serious. (of a woman) having many casual sexual encounters or relationships.. come upon or discover by chance. descend"
   voice,"the sound produced in a person's larynx and uttered through the mouth, as speech or song. a particular opinion or attitude expressed. the range of pitch or type of tone with which a person sings, such as soprano or tenor.. sound uttered with resonance of the vocal cords (used in the pronunciation of vowels and certain consonants).. a form or set of forms of a verb showing the relation of the subject to the action. express (something) in words. utter (a speech sound) with resonance of the vocal cords (e.g. b, d, g, v, z).. regulate the tone quality of (organ pipes or a piano)."
   wife,"a married woman considered in relation to her spouse.. a woman, especially an old or uneducated one."
   whole,all of; entire. in an unbroken or undamaged state; in one piece. a thing that is complete in itself. all of something. used to emphasize the novelty or distinctness of something
   police,"the civil force of a state, responsible for the prevention and detection of crime and the maintenance of public order. (of a police force) have the duty of maintaining law and order in or at (an area or event)."
   mind,"the element of a person that enables them to be aware of the world and their experiences, to think, and to feel; the faculty of consciousness and thought. a person's ability to think and reason; the intellect. a person's attention. be distressed, annoyed, or worried by. regard as important; feel concern about. used to urge someone to remember or take care to do something. take care of temporarily. be inclined to do something"
   finally,"after a long time, typically when there has been difficulty or delay"
   pull,exert force on (someone or something) so as to cause movement towards oneself. move steadily in a specified direction or manner. attract (someone) as a customer; cause to show interest in something. cancel or withdraw (an entertainment or advertisement). play (the ball) round to the leg side from the off.. (of a lineman) withdraw from and cross behind the line of scrimmage to block opposing players and clear the way for a runner. print (a proof).. an act of pulling something. a force drawing someone or something in a particular direction. (in sport) a pulling stroke.. a printer's proof.
   return,"come or go back to a place or person. give, put, or send (something) back to a place or person. yield or make (a profit). (of an electorate) elect (a person or party) to office. continue (a wall) in a changed direction, especially at right angles.. an act of coming or going back to a place or activity. a profit from an investment. an official report or statement submitted in response to a formal demand. election to office. a mechanism or key on a typewriter that returns the carriage to a fixed position at the start of a new line.. a part receding from the line of the front, for example the side of a house or of a window opening."
   free,able to act or be done as one wishes; not under the control of another. not or no longer confined or imprisoned. not subject to engagements or obligations. not subject to or affected by (something undesirable). given or available without charge. using or expending something without restraint; lavish. (of literature or music) not observing the normal conventions of style or form.. (of the wind) blowing from a favourable direction to the side or aft of a vessel.. without cost or payment. with the sheets eased. release from confinement or slavery. remove something undesirable or restrictive from. make available for a particular purpose
   military,relating to or characteristic of soldiers or armed forces. the armed forces of a country
   price,"the amount of money expected, required, or given in payment for something. an unwelcome experience or action undergone or done as a condition of achieving an objective. decide the amount required as payment for (something offered for sale). discover or establish the price of (something for sale)."
   report,"give a spoken or written account of something that one has observed, heard, done, or investigated. present oneself formally as having arrived at a particular place or as ready to do something. be responsible to (a superior or supervisor). an account given of a particular matter, especially in the form of an official document, after thorough investigation or consideration by an appointed person or body. a piece of information that is unsupported by firm evidence. a sudden loud noise of or like an explosion or gunfire. an employee who reports to another employee.. the reputation of someone or something"
   less,a smaller amount of; not as much. of lower rank or importance. to a smaller extent; not so much. before subtracting (something); minus
   according,as stated by or in. depending on whether
   decision,a conclusion or resolution reached after consideration
   explain,make (an idea or situation) clear to someone by describing it in more detail or revealing relevant facts
   son,a boy or man in relation to either or both of his parents.
   hope,a feeling of expectation and desire for a particular thing to happen. a feeling of trust. want something to happen or be the case
   even,"flat and smooth. equal in number, amount, or value. (of a number, such as 2, 6, or 108) divisible by two without a remainder. make or become even. used to emphasize something surprising or extreme. the end of the day; evening. a member of an indigenous people living in the Kamchatka peninsula of eastern Siberia.. the language of the Even, a Tungusic language with about 6,000 speakers, closely related to Evenki.. relating to the Even or their language."
   develop,"grow or cause to grow and become more mature, advanced, or elaborate. start to exist, experience, or possess. treat (a photographic film) with chemicals to make a visible image. bring (a piece) into play from its initial position on a player's back rank"
   view,"the ability to see something or to be seen from a particular place. a sight or prospect, typically of attractive natural scenery, that can be taken in by the eye from a particular place. a particular way of considering or regarding something; an attitude or opinion. look at or inspect. regard in a particular light or with a particular attitude"
   relationship,"the way in which two or more people or things are connected, or the state of being connected"
   carry,"support and move (someone or something) from one place to another. support the weight of. (of a sound, ball, missile, etc.) reach a specified point. assume or accept (responsibility or blame). have as a feature or consequence. approve (a proposed measure) by a majority of votes. transfer (a figure) to an adjacent column during an arithmetical operation (e.g. when a column of digit adds up to more than ten).. an act of carrying something from one place to another. the range of a gun or similar weapon.. the maintenance of an investment position in a securities market, especially with regard to the costs or profits accruing"
   town,"a built-up area with a name, defined boundaries, and local government, that is larger than a village and generally smaller than a city. the central part of a neighbourhood, with its business or shopping area. densely populated areas, especially as contrasted with the country or suburbs"
   road,"a wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use. a series of events or a course of action that will lead to a particular outcome. a partly sheltered stretch of water near the shore in which ships can ride at anchor"
   drive,"operate and control the direction and speed of a motor vehicle. propel or carry along by force in a specified direction. urge or force (animals or people) to move in a specified direction. (of a fact or feeling) compel (someone) to act in a particular way, especially one that is considered undesirable or inappropriate. a trip or journey in a car. an innate, biologically determined urge to attain a goal or satisfy a need. an organized effort by a number of people to achieve a purpose. the transmission of power to machinery or to the wheels of a motor vehicle. (in ball games) a forceful stroke made with a free swing of the bat, racket, or foot against the ball. an act of driving a group of animals to a particular destination"
   arm,"each of the two upper limbs of the human body from the shoulder to the hand. a thing comparable to an arm in form or function, typically something that projects from a larger structure. a branch or division of a company or organization. each of the lines enclosing an angle.. supply or provide with weapons. activate the fuse of (a bomb, missile, or other explosive device) so that it is ready to explode"
   true,"in accordance with fact or reality. accurate or exact. loyal or faithful. honest. truly. accurately or without variation.. bring (an object, wheel, or other construction) into the exact shape or position required"
   federal,having or relating to a system of government in which several states form a unity but remain independent in internal affairs. relating to or denoting the central government as distinguished from the separate units constituting a federation
   break,"separate into pieces as a result of a blow, shock, or strain. interrupt (a continuity, sequence, or course). fail to observe (a law, regulation, or agreement). crush the emotional strength, spirit, or resistance of. (of the weather) change suddenly, especially after a fine spell. (of news or a scandal) suddenly become public. (chiefly of an attacking player or team, or of a military force) make a rush or dash in a particular direction. an interruption of continuity or uniformity. a pause in work or during an activity or event. a gap or opening. an instance of breaking something, or the point where something is broken. a rush or dash in a particular direction, especially by an attacking player or team. an opportunity or chance, especially one leading to professional success. a consecutive series of successful shots, scoring a specified number of points. a bud or shoot sprouting from a stem.. Nan"
   better,"more desirable, satisfactory, or effective. partly or fully recovered from illness, injury, or mental stress. more excellently or effectively. the better one; that which is better. one's superiors in social class or ability. improve on or surpass (an existing or previous level or achievement). "
   difference,"a point or way in which people or things are dissimilar. a disagreement, quarrel, or dispute. alter (a coat of arms) to distinguish members or branches of a family."
   thank,"express gratitude to (someone), especially by saying ‘Thank you’"
   receive,"be given, presented with, or paid (something). suffer, experience, or be subject to (specified treatment). greet or welcome (a visitor) formally. form (an idea or impression) as a result of perception or experience. detect or pick up (broadcast signals). serve as a receptacle for. (in tennis and similar games) be the player to whom the server serves (the ball).. eat or drink (the Eucharistic bread or wine)"
   value,"the regard that something is held to deserve; the importance, worth, or usefulness of something. principles or standards of behaviour; one's judgement of what is important in life. the numerical amount denoted by an algebraic term; a magnitude, quantity, or number. the relative duration of the sound signified by a note.. the meaning of a word or other linguistic unit.. the relative degree of lightness or darkness of a particular colour. estimate the monetary worth of. consider (someone or something) to be important or beneficial; have a high opinion of"
   international,"existing, occurring, or carried on between nations. a game or contest between teams representing different countries in a sport. any of four associations founded (1864–1936) to promote socialist or communist action."
   building,"a structure with a roof and walls, such as a house or factory.. the action or trade of constructing something. a flock of rooks"
   action,"the fact or process of doing something, typically to achieve an aim. a thing done; an act. the way in which something works or moves. armed conflict. legal proceedings; a lawsuit. take action on; deal with"
   full,"containing or holding as much or as many as possible; having no empty space. not lacking or omitting anything; complete. (of a person's figure or part of the body) plump or rounded. straight; directly. very. the period, point, or state of the greatest fullness or strength.. make (something) full; fill up. gather or pleat (fabric) so as to make a garment full. (of the moon or tide) become full. clean, shrink, and felt (cloth) by heat, pressure, and moisture"
   model,"a three-dimensional representation of a person or thing or of a proposed structure, typically on a smaller scale than the original. a thing used as an example to follow or imitate. a simplified description, especially a mathematical one, of a system or process, to assist calculations and predictions. a person employed to display clothes by wearing them. a particular design or version of a product. fashion or shape (a three-dimensional figure or object) in a malleable material such as clay or wax. use (a system, procedure, etc.) as an example to follow or imitate. devise a representation, especially a mathematical one, of (a phenomenon or system). display (clothes) by wearing them"
   join,link; connect. a place or line where two or more things are connected or fastened together
   season,"each of the four divisions of the year (spring, summer, autumn, and winter) marked by particular weather patterns and daylight hours, resulting from the earth's changing position with regard to the sun.. a set or sequence of related television programmes; a series. a period when a female mammal is ready to mate. add salt, herbs, pepper, or other spices to (food). make (wood) suitable for use as timber by adjusting its moisture content to that of the environment in which it will be used"
   society,the aggregate of people living together in a more or less ordered community. an organization or club formed for a particular purpose or activity. the situation of being in the company of other people
   because,for the reason that; since
   tax,"a compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions. a strain or heavy demand. impose a tax on (someone or something). make heavy demands on (someone's powers or resources). confront (someone) with a fault or wrongdoing. examine and assess (the costs of a case)"
   director,"a person who is in charge of an activity, department, or organization"
   early,happening or done before the usual or expected time. belonging or happening near the beginning of a particular period. before the usual or expected time. near the beginning of a particular time or period. potatoes which are ready to be harvested before the main crop.. early shifts
   position,"a place where someone or something is located or has been put. a particular way in which someone or something is placed or arranged. a situation, especially as it affects one's power to act. a person's point of view or attitude towards something. the extent to which an investor, dealer, or speculator has made a commitment in the market by buying or selling securities. a proposition laid down or asserted; a tenet or assertion.. put or arrange (someone or something) in a particular place or way"
   player,a person taking part in a sport or game. a person who plays a musical instrument. an actor
   agree,have the same opinion about something; concur. say that one will do something which has been suggested by another person. be consistent with
   especially,used to single out one person or thing over all others. to a great extent; very much
   record,"a thing constituting a piece of evidence about the past, especially an account kept in writing or some other permanent form. the sum of the past achievements or performance of a person, organization, or thing. the best performance or most remarkable event of its kind. a thin plastic disc carrying recorded sound in grooves on each surface, for reproduction by a record player. set down in writing or some other permanent form for later reference. convert (sound or a performance) into a permanent form for subsequent reproduction or broadcast"
   pick,"detach and remove (a flower, fruit, or vegetable) from where it is growing. choose (someone or something) from a number of alternatives. repeatedly pull at something with one's fingers. pluck the strings of (a guitar or banjo). an act or the right of selecting something from a number of alternatives. an act of blocking or screening a defensive player from the ball handler.. a tool consisting of a long handle set at right angles in the middle of a curved iron or steel bar with a point at one end and a chisel edge or point at the other, used for breaking up hard ground or rock.. an instrument for picking"
   wear,"have (something) on one's body as clothing, decoration, or protection. damage, erode, or destroy by friction or use. pass (a period of time) in some activity. tolerate; accept. clothing suitable for a particular purpose or of a particular type. damage or deterioration sustained from continuous use. bring (a ship) about by turning its head away from the wind"
   paper,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material. a sheet of paper with something written or printed on it. a set of examination questions to be answered at one session. an essay or dissertation, especially one read at an academic lecture or seminar or published in an academic journal. free passes of admission to a theatre or other entertainment.. apply wallpaper to (a wall or room). fill (a theatre) by giving out free tickets"
   special,"better, greater, or otherwise different from what is usual. belonging specifically to a particular person or place. denoting a group consisting of matrices of unit determinant. a thing, such as a product or broadcast, that is designed or organized for a particular occasion or purpose"
   space,"a continuous area or expanse which is free, available, or unoccupied. the dimensions of height, depth, and width within which all things exist and move. an interval of time (often used to suggest that the time is short considering what has happened or been achieved in it). the portion of a text or document available or needed to write about a subject. the freedom to live, think, and develop in a way that suits one. one of two possible states of a signal in certain systems.. position (two or more items) at a distance from one another. be or become euphoric or unaware of one's surroundings, especially from taking drugs"
   ground,"the solid surface of the earth. an area of land or sea used for a specified purpose. an area of knowledge or subject of discussion or thought. factors forming a basis for action or the justification for a belief. a prepared surface to which paint is applied.. solid particles, especially of coffee, which form a residue; sediment. electrical connection to the earth.. prohibit or prevent (a pilot or an aircraft) from flying. (with reference to a ship) run or go aground. give (something abstract) a firm theoretical or practical basis. place (something) on the ground or touch the ground with (something). connect (an electrical device) with the ground.. (of a batter) hit a pitched ball so that it bounces on the ground. Nan. reduced to fine particles by crushing or mincing"
   form,"the visible shape or configuration of something. a particular way in which a thing exists or appears. a type or variety of something. the customary or correct method or procedure. a mould, frame, or block in or on which something is shaped.. a printed document with blank spaces for information to be inserted. a class or year in a school, usually given a specifying number. the state of a sports player or team with regard to their current standard of play. a long bench without a back.. a hare's lair.. bring together parts or combine to create (something). make or be made into a specific shape or form"
   support,"bear all or part of the weight of; hold up. give assistance to, especially financially. suggest the truth of; corroborate. (of a computer or operating system) allow the use or operation of (a program, language, or device). endure; tolerate. a thing that bears the weight of something or keeps it upright. material assistance. evidence that serves to corroborate something"
   event,"a thing that happens or takes place, especially one of importance"
   official,"relating to an authority or public body and its activities and responsibilities. a person holding public office or having official duties, especially as a representative of an organization or government department"
   whose,belonging to or associated with which person. of whom or which (used to indicate that the following noun belongs to or is associated with the person or thing mentioned in the previous clause)
   matter,"physical substance in general, as distinct from mind and spirit; (in physics) that which occupies space and possesses rest mass, especially as distinct from energy. a subject or situation under consideration. the reason for distress or a problem. the substance or content of a text as distinct from its style or form.. be important or significant. (of a wound) secrete or discharge pus."
   everyone,every person
   center,"the point that is equally distant from every point on the circumference of a circle or sphere.. the point from which an activity or process is directed, or on which it is focused. a place or group of buildings where a specified activity is concentrated. occur mainly in or around (a specified place). place in the middle. a region of central France, including the cities of Orleans, Tours, and Chartres."
   couple,two people or things of the same sort considered together. two people who are married or otherwise closely associated romantically or sexually. an indefinite small number. link or combine (something) with something else. mate or have sexual intercourse
   site,"an area of ground on which a town, building, or monument is constructed. a website. fix or build (something) in a particular place"
   end,"a final part of something, especially a period of time, an activity, or a story. the furthest or most extreme part of something. a goal or desired result. (in bowls and curling) a session of play in one particular direction across the playing area.. a lineman positioned nearest the sideline. come or bring to a final point; finish"
   project,"an individual or collaborative enterprise that is carefully planned to achieve a particular aim. a government-subsidized housing development with relatively low rents. estimate or forecast (something) on the basis of present trends. extend outwards beyond something else; protrude. throw or cause to move forward or outward. present or promote (a particular view or image). draw straight lines through (a given figure) to produce a corresponding figure on a surface or a line.. make a projection of (the earth, sky, etc.) on a plane surface."
   hit,"bring one's hand or a tool or weapon into contact with (someone or something) quickly and forcefully. (of a missile or a person aiming one) strike (a target). cause harm or distress to. reach (a particular level, point, or figure). propel (a ball) with a bat, racket, stick, etc. to score runs or points in a game.. an instance of striking or being struck. an instance of striking the target aimed at. a successful venture, especially a film, pop record, or song. a dose of a narcotic drug"
   base,"the lowest part or edge of something, especially the part on which it rests or is supported. a conceptual structure or entity on which something draws or depends. a place used as a centre of operations by the armed forces or others; a headquarters. a main or important element or ingredient to which other things are added. a substance capable of reacting with an acid to form a salt and water, or (more broadly) of accepting or neutralizing hydrogen ions.. the middle part of a bipolar transistor, separating the emitter from the collector.. the root or stem of a word or a derivative.. a number used as the basis of a numeration scale.. each of the four stations that must be reached in turn to score a run.. use (something specified) as the foundation or starting point for something. situate at a specified place as the centre of operations. without moral principles; ignoble. denoting or befitting a person of low social class.. (of coins or other articles) not made of precious metal"
   activity,"the condition in which things are happening or being done. a thing that a person or group does or has done. a thermodynamic quantity representing the effective concentration of a particular component in a solution or other system, equal to its concentration multiplied by an activity coefficient."
   star,"a fixed luminous point in the night sky which is a large, remote incandescent body like the sun.. a conventional or stylized representation of a star, typically having five or more points. a very famous or talented entertainer or sports player. a planet, constellation, or configuration regarded as influencing a person's fortunes or personality. used in names of starfishes and similar echinoderms with five or more radiating arms, e.g. cushion star, brittlestar.. (of a film, play, or other show) have (someone) as a principal performer. decorate or cover with star-shaped marks or objects"
   table,"a piece of furniture with a flat top and one or more legs, providing a level surface for eating, writing, or working at. a set of facts or figures systematically displayed, especially in columns. a flat, typically rectangular, vertical surface; a panel.. present formally for discussion or consideration at a meeting. postpone consideration of. strengthen (a sail) by making a hem at the edge."
   need,"require (something) because it is essential or very important rather than just desirable. expressing necessity or obligation. be necessary. circumstances in which something is necessary; necessity. a thing that is wanted or required. the state of requiring help, or of lacking basic necessities such as food"
   court,"a body of people presided over by a judge, judges, or magistrate, and acting as a tribunal in civil and criminal cases. a quadrangular area, either open or covered, marked out for ball games such as tennis or squash. the courtiers, retinue, and household of a sovereign. the qualified members of a company or a corporation.. be involved with (someone) romantically, with the intention of marrying. pay special attention to (someone) in an attempt to win their support or favour"
   produce,"make or manufacture from components or raw materials. cause (a particular result or situation) to happen or exist. show or provide (something) for consideration, inspection, or use. administer the financial and managerial aspects of (a film or broadcast) or the staging of (a play, opera, etc.). extend or continue (a line). agricultural and other natural products collectively"
   eat,put (food) into the mouth and chew and swallow it. light food or snacks. Tanzania (international vehicle registration).
   American,relating to or characteristic of the United States or its inhabitants. a native or citizen of the United States.. the English language as it is used in the United States; American English.
   teach,impart knowledge to or instruct (someone) as to how to do something. cause (someone) to learn or understand something by example or experience. a teacher
   oil,"a viscous liquid derived from petroleum, especially for use as a fuel or lubricant.. oil paint. information or facts. lubricate, coat, or impregnate with oil. supply with oil as fuel"
   half,either of two equal or corresponding parts into which something is or can be divided. an amount equal to a half. to the extent of half
   situation,a set of circumstances in which one finds oneself; a state of affairs. the location and surroundings of a place. a position of employment; a job.
   easy,achieved without great effort; presenting few difficulties. (of a period of time or way of life) free from worries or problems. (of an object of attack or criticism) having no defence; vulnerable. without difficulty or effort. be careful
   cost,(of an object or action) require the payment of (a specified sum of money) before it can be acquired or done. estimate the price of. an amount that has to be paid or spent to buy or obtain something
   industry,economic activity concerned with the processing of raw materials and manufacture of goods in factories. hard work
   figure,"a number, especially one which forms part of official statistics or relates to the financial performance of a company. a person's bodily shape, especially that of a woman and when considered to be attractive. a person of a particular kind, especially one who is important or distinctive in some way. a shape which is defined by one or more lines in two dimensions (such as a circle or a triangle), or one or more surfaces in three dimensions (such as a sphere or a cuboid), either considered mathematically in geometry or used as a decorative design. a short succession of notes producing a single impression; a brief melodic or rhythmic formula out of which longer passages are developed.. the form of a syllogism, classified according to the position of the middle term.. have a significant part or role in a situation or process. calculate or work out (an amount or value) arithmetically. think, consider, or expect to be the case. represent in a diagram or picture"
   face,"the front part of a person's head from the forehead to the chin, or the corresponding part in an animal. the surface of a thing, especially one that is presented to the view or has a particular function.. a person of a particular type. be positioned with the face or front towards (someone or something). confront and deal with or accept. cover the surface of (something) with a layer of a different material"
   street,"a public road in a city, town, or village, typically with houses and buildings on one or both sides. relating to the outlook, values, or lifestyle of those young people who are perceived as composing a fashionable urban subculture"
   image,"a representation of the external form of a person or thing in art. the general impression that a person, organization, or product presents to the public. a simile or metaphor. make a representation of the external form of"
   itself,used as the object of a verb or preposition to refer to a thing or animal previously mentioned as the subject of the clause. used to emphasize a particular thing or animal mentioned
   phone,a telephone. headphones or earphones.. contact someone by telephone. a speech sound; the smallest discrete segment of sound in a stream of speech.
   either,used before the first of two (or occasionally more) given alternatives (the other being introduced by ‘or’). used to indicate a similarity or link with a statement just made. one or the other of two people or things
   data,facts and statistics collected together for reference or analysis
   cover,"put something on top of or in front of (something) in order to protect or conceal it. extend over (an area). deal with (a subject) by describing or analysing its most important aspects or events. (of a sum of money) be enough to pay (a cost). disguise the sound or fact of (something) with another sound or action. aim a gun at (someone) in order to prevent them from moving or escaping. record or perform a new version of (a song) originally performed by someone else. (of a male animal, especially a stallion) copulate with (a female animal). play a higher card on (a high card) in a trick. a thing which lies on, over, or around something, especially in order to protect or conceal it. shelter or protection sought by people in danger. protection by insurance against a liability, loss, or accident. a recording or performance of a song previously recorded by a different artist. a place setting at a table in a restaurant"
   quite,to the utmost or most absolute extent or degree; absolutely; completely. to a certain or fairly significant extent or degree; fairly. expressing agreement with or understanding of a remark or statement
   picture,a painting or drawing. an impression of something formed from a description. a person or thing resembling another closely. represent in a photograph or picture
   clear,"easy to perceive, understand, or interpret. (of a substance) transparent; unclouded. free of any obstructions or unwanted objects. not touching; away from. complete; full. denoting a palatalized form of the sound of the letter l (as in leaf in most accents of English).. so as to be out of the way of or away from. completely. remove an obstruction or unwanted item or items from. remove (an obstruction or unwanted item) from somewhere. get past or over (something) safely or without touching it. officially show or declare (someone) to be innocent. give official approval or authorization to. earn or gain (an amount of money) as a net profit"
   practice,"the actual application or use of an idea, belief, or method, as opposed to theories relating to it. the customary, habitual, or expected procedure or way of doing of something. repeated exercise in or performance of an activity or skill so as to acquire or maintain proficiency in it. "
   piece,"a portion of an object or of material, produced by cutting, tearing, or breaking the whole. a written, musical, or artistic creation. an instance or example. a coin of specified value. a figure or token used to make moves in a board game. a firearm.. a woman.. a sandwich or other item of food taken as a snack.. assemble something from parts or pieces. extend something. patch (something)"
   land,the part of the earth's surface that is not covered by water. a country or state. the space between the rifling grooves in a gun.. put (someone or something) on land from a boat. come down through the air and rest on the ground or another surface. cause someone to be in (a difficult situation). inflict (a blow) on someone. a state of Germany or Austria.
   recent,"having happened, begun, or been done not long ago; belonging to a past period comparatively close to the present. the Holocene epoch."
   describe,give a detailed account in words of. mark out or draw (a geometrical figure)
   product,"an article or substance that is manufactured or refined for sale. a thing or person that is the result of an action or process. a quantity obtained by multiplying quantities together, or from an analogous algebraic operation."
   doctor,a person who is qualified to treat people who are ill. a person who holds the highest university degree. an artificial fishing fly.. a cool onshore breeze that blows regularly in a particular warm location. change the content or appearance of (a document or picture) in order to deceive; falsify. treat (someone) medically
   wall,"a continuous vertical brick or stone structure that encloses or divides an area of land. a thing regarded as a protective or restrictive barrier. the membranous outer layer or lining of an organ or cavity. the rock enclosing a lode or seam.. enclose (an area) within walls, especially for protection or privacy"
   patient,"able to accept or tolerate delays, problems, or suffering without becoming annoyed or anxious. a person receiving or registered to receive medical treatment. the semantic role of a noun phrase denoting something that is affected or acted upon by the action of a verb."
   worker,"a person who does a specified type of work or who works in a specified way. a person who achieves a specified thing. a neuter or undeveloped female bee, wasp, ant, or other social insect, large numbers of which do the basic work of the colony."
   news,"newly received or noteworthy information, especially about recent events"
   test,"a procedure intended to establish the quality, performance, or reliability of something, especially before it is taken into widespread use. a movable hearth in a reverberating furnace, used for separating gold or silver from lead.. take measures to check the quality, performance, or reliability of (something), especially before putting it into widespread use or practice. the shell or integument of some invertebrates and protozoans, especially the chalky shell of a foraminiferan or the tough outer layer of a tunicate."
   movie,a cinema film
   certain,able to be firmly relied on to happen or be the case. specific but not explicitly named or stated. some but not all
   north,"the direction in which a compass needle normally points, towards the horizon on the left-hand side of a person facing east, or the part of the horizon lying in this direction. the northern part of the world or of a specified country, region, or town. the player occupying a designated position at the table, sitting opposite and partnering South. lying towards, near, or facing the north. of or denoting the northern part of a specified country, region, or town. to or towards the north. above (a particular amount, cost, etc.)"
   love,"an intense feeling of deep affection. a great interest and pleasure in something. a person or thing that one loves. (in tennis, squash, and some other sports) a score of zero; nil. feel deep affection or sexual love for (someone)"
   personal,"belonging to or affecting a particular person rather than anyone else. of or concerning one's private life, relationships, and emotions rather than one's career or public life. relating to a person's body. of or denoting one of the three persons.. existing as a self-aware entity, not as an abstraction or an impersonal force. an advertisement or message in the personal column of a newspaper."
   open,"allowing access, passage, or a view through an empty space; not closed or blocked. exposed to the air or to view; not covered. with the outer edges or sides drawn away from each other; unfolded or spread out. (of a business, place of entertainment, etc.) admitting customers or visitors; available for business. freely available or accessible; unrestricted. not concealing one's thoughts or feelings; frank and communicative. (of a matter or decision) not finally settled; still admitting of debate. (of a vowel) produced with a relatively wide opening of the mouth and the tongue kept low.. (of a string) allowed to vibrate along its whole length.. (of an electric circuit) having a break in the conducting path.. move (a door or window) so as to leave a space allowing access and vision. unfold or be unfolded; spread out. make or become formally ready for customers, visitors, or business. formally establish or begin (a new business, movement, or enterprise). make available or more widely known. break the conducting path of (an electric circuit). outdoors or in the countryside. a championship or competition with no restrictions on who may compete. an accidental break in the conducting path for an electric current."
   support,"bear all or part of the weight of; hold up. give assistance to, especially financially. suggest the truth of; corroborate. (of a computer or operating system) allow the use or operation of (a program, language, or device). endure; tolerate. a thing that bears the weight of something or keeps it upright. material assistance. evidence that serves to corroborate something"
   simply,in a straightforward or plain manner. merely; just
   third,"constituting number three in a sequence; 3rd. each of three equal parts into which something is or may be divided. an interval spanning three consecutive notes in a diatonic scale, e.g. C to E (major third, equal to two tones) or A to C (minor third, equal to a tone and a semitone)."
   technology,"the application of scientific knowledge for practical purposes, especially in industry"
   catch,"intercept and hold (something which has been thrown, propelled, or dropped). capture (a person or animal that tries or would try to escape). (of an object) accidentally become entangled or trapped in something. reach in time and board (a train, bus, or aircraft). engage (a person's interest or imagination). strike (someone) on a part of the body. contract (an illness) through infection or contagion. become ignited and start burning. an act of catching something, typically a ball.. a game in which a ball is thrown back and forth between two or more players.. a device for securing something such as a door, window, or box. a hidden problem or disadvantage in an apparently ideal situation. an unevenness in a person's voice caused by emotion. a round, typically one with words arranged to produce a humorous effect."
   step,"an act or movement of putting one leg in front of the other in walking or running. a flat surface, especially one in a series, on which to place one's foot when moving from one level to another. a measure or action, especially one of a series taken in order to deal with or achieve a particular thing. an interval in a scale; a tone (whole step) or semitone (half step).. an abrupt change in the value of a quantity, especially voltage.. a block fixed to a boat's keel in order to take the base of a mast or other fitting.. lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position. set up (a mast) in its step."
   baby,a very young child. a lover or spouse (often as a form of address). comparatively small or immature of its kind. treat (someone) as a baby; pamper or be overprotective towards
   computer,"an electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program."
   type,"a category of people or things having common characteristics. a person or thing exemplifying the ideal or defining characteristics of something. characters or letters that are printed or shown on a screen. a design on either side of a medal or coin.. an abstract category or class of linguistic item or unit, as distinct from actual occurrences in speech or writing.. write (something) on a typewriter or computer by pressing the keys. determine the type to which (a person or their blood or tissue) belongs"
